"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","lambdaDurationInMs","lambdaRegion","lambdaMaxMemoryUsed","lambdaMemorySize","message","projectId","wafAction"
"2024-08-03 10:05:50",1722679550587,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",-10,"pdx1:sfo1:sfo1::iad1::jk6q5-1722679540407-70ad4af4b801","['Vercel Edge Functions']","error","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"MongooseError: Operation `profiles.findOne()` buffering timed out after 10000ms
    at Timeout.<anonymous> (/var/task/job-portal/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:185:23)
    at listOnTimeout (node:internal/timers:573:17)
    at process.processTimers (node:internal/timers:514:7) {
  digest: '1588096565'
}","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:50",1722679550586,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",-10,"pdx1:sfo1:sfo1::iad1::jk6q5-1722679540407-70ad4af4b801","['Vercel Edge Functions']","error","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"MongooseError: Operation `profiles.findOne()` buffering timed out after 10000ms
    at Timeout.<anonymous> (/var/task/job-portal/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:185:23)
    at listOnTimeout (node:internal/timers:573:17)
    at process.processTimers (node:internal/timers:514:7) {
  digest: '1588096565'
}","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:46",1722679546675,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",-10,"pdx1:sfo1:sfo1::iad1::4ntdb-1722679534911-67d37b471a6b","['Vercel Edge Functions']","error","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"MongooseError: Operation `profiles.findOne()` buffering timed out after 10000ms
    at Timeout.<anonymous> (/var/task/job-portal/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:185:23)
    at listOnTimeout (node:internal/timers:573:17)
    at process.processTimers (node:internal/timers:514:7) {
  digest: '1588096565'
}","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:46",1722679546673,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",-10,"pdx1:sfo1:sfo1::iad1::4ntdb-1722679534911-67d37b471a6b","['Vercel Edge Functions']","error","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"MongooseError: Operation `profiles.findOne()` buffering timed out after 10000ms
    at Timeout.<anonymous> (/var/task/job-portal/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:185:23)
    at listOnTimeout (node:internal/timers:573:17)
    at process.processTimers (node:internal/timers:514:7) {
  digest: '1588096565'
}","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:40",1722679540581,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",-10,"pdx1:sfo1:sfo1::iad1::jk6q5-1722679540407-70ad4af4b801","['Vercel Edge Functions']","info","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"job board database connection successful!","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:40",1722679540538,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",200,"pdx1:sfo1:sfo1::iad1::jk6q5-1722679540407-70ad4af4b801","['Vercel Edge Functions']","info","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",10030,"iad1",131,1024,"","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:40",1722679540415,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",200,"pdx1:sfo1:sfo1::jk6q5-1722679540407-70ad4af4b801","['Vercel Edge Functions']","info","production","main","-","edge-middleware","/src/middleware","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"-",-1,-1,"[GET] [middleware: ""src/middleware""] / status=200","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:39",1722679539845,"job-portal-site-one.vercel.app/","HEAD",200,"pdx1::c95wl-1722679539842-228514ed0985","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36']","info","production","main","-","edge-middleware","/src/middleware","job-portal-site-one.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"-",-1,-1,"[HEAD] [middleware: ""src/middleware""] / status=200","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:38",1722679538686,"job-portal-site-one.vercel.app/","GET",-10,"pdx1::iad1::z8p69-1722679526595-8f81ed4b20fb","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/","job-portal-site-one.vercel.app","job-portal-site-one.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"MongooseError: Operation `profiles.findOne()` buffering timed out after 10000ms
    at Timeout.<anonymous> (/var/task/job-portal/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:185:23)
    at listOnTimeout (node:internal/timers:573:17)
    at process.processTimers (node:internal/timers:514:7) {
  digest: '1588096565'
}","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:38",1722679538684,"job-portal-site-one.vercel.app/","GET",-10,"pdx1::iad1::z8p69-1722679526595-8f81ed4b20fb","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/","job-portal-site-one.vercel.app","job-portal-site-one.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"iad1",-1,-1,"MongooseError: Operation `profiles.findOne()` buffering timed out after 10000ms
    at Timeout.<anonymous> (/var/task/job-portal/node_modules/mongoose/lib/drivers/node-mongodb-native/collection.js:185:23)
    at listOnTimeout (node:internal/timers:573:17)
    at process.processTimers (node:internal/timers:514:7) {
  digest: '1588096565'
}","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:35",1722679535049,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",200,"pdx1:sfo1:sfo1::iad1::4ntdb-1722679534911-67d37b471a6b","['Vercel Edge Functions']","info","production","main","MISS","lambda","/","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",11243,"iad1",129,1024,"","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:34",1722679534919,"job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app/","GET",200,"pdx1:sfo1:sfo1::4ntdb-1722679534911-67d37b471a6b","['Vercel Edge Functions']","info","production","main","-","edge-middleware","/src/middleware","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"-",-1,-1,"[GET] [middleware: ""src/middleware""] / status=200","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:34",1722679534172,"job-portal-site-one.vercel.app/","HEAD",200,"pdx1::7nvrt-1722679534172-bdcb755e0f5f","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36']","info","production","main","-","edge-middleware","/src/middleware","job-portal-site-one.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"-",-1,-1,"[HEAD] [middleware: ""src/middleware""] / status=200","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:26",1722679526752,"job-portal-site-one.vercel.app/","GET",200,"pdx1::iad1::z8p69-1722679526595-8f81ed4b20fb","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36']","info","production","main","MISS","lambda","/","job-portal-site-one.vercel.app","job-portal-site-one.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",11219,"iad1",129,1024,"","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
"2024-08-03 10:05:26",1722679526606,"job-portal-site-one.vercel.app/","GET",200,"pdx1::z8p69-1722679526595-8f81ed4b20fb","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36']","info","production","main","-","edge-middleware","/src/middleware","job-portal-site-one.vercel.app","job-portal-site-932gas9lj-mohammad-sameer-maleks-projects.vercel.app","dpl_pyP4VZT9RgydYGZ433gZxM8wQ3wA",-1,"-",-1,-1,"[GET] [middleware: ""src/middleware""] / status=200","prj_uG8c0huKDQ38MYqAziDiJxMXn19q","-"
